""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"
"Lym_7d_3"	-53.5547104995166	0.580279745538046	45.3294195429845	17.7644440723557	8.56435788279781	-18.9084725605133	-10.4531478629798	15.4312899511719	-15.359016250084	23.4940662111023	5.96851410980125	-14.9146292275443	4.443893985323	-9.76247603749028	-11.7276794255793	-2.2024400773695	11.383762822832	10.0151637898826	5.20068237658899	-17.2986935235895	15.4134696470375	10.7355901426478	-11.4778029036618	-2.4681645616198e-14
"Ton_0d_1"	37.6068584775676	-22.1518835647821	-11.011191879416	-14.0205234653223	9.25244452307869	2.26714228508316	19.5486332633003	4.70145729163865	-31.5189496048873	17.0817246127545	-20.4980807678419	28.3058784026894	-11.226591526634	-13.2977456155718	16.788309394054	-12.6702795039169	7.94858294170028	6.47252029558767	-6.4362459227662	0.121172101568868	-4.78712652800138	12.2098799161948	1.49077108875863	-3.82679998800484e-15
"Ton_0d_2"	26.1894903084665	-37.5558971218913	0.870425343047014	14.9321008578209	-15.8763774642029	24.7662605600854	33.6770157734773	-15.5934190704619	-1.09422081879388	9.71437316956247	-2.64894148588609	-25.3052530603679	23.9015945386665	2.48613364344928	7.43804476908939	-11.5547574737962	4.03545525343392	4.23400593843153	0.4419683530532	-8.28095998263318	1.26873805560934	-18.8576768502471	-2.08625861336763	-2.42722508758675e-14
"Ton_0d_3"	46.6719529173718	-24.8651043933659	-17.2840097560483	6.12462445061878	36.5553264972154	-0.529798328415051	15.965525239393	5.31699689180017	-10.8262600197162	-1.91532352642452	14.7208820846039	-4.53990863144534	9.15306492106303	14.4344230416076	-35.9536222256796	1.14129450814912	-2.69289200450672	-8.68594779399582	-8.1490448848845	8.24784017382236	-7.63139386827363	11.4116920396019	7.21325639755736	3.07046055247895e-15
"Ton_1d_1"	36.3439251496969	-22.8780861023146	-1.47009847940481	-5.7372462130745	19.7594427154873	-12.6528347202986	5.7662366599409	-7.83107177504502	7.7032225111202	-9.41979857208961	9.38749825323883	-10.0403153906162	-37.3550876299518	13.1359476230788	12.0485170000277	5.14279149949327	17.9758923978151	-17.0566559174986	8.72411711735679	-14.7083449345856	-0.186469842896525	-8.29038425835316	-10.2418650846327	3.58211724171831e-14
"Ton_1d_2"	33.612399667469	-28.0541985297857	-16.5747443046829	-3.52435861858739	-12.4357653472644	-24.564180720279	-8.44935962440214	-12.8912930033047	-0.23763612606809	-7.97401999301211	-3.82921469496111	5.63739917624633	9.90194198804971	-20.4400624540911	-2.56021896504027	1.2784194676168	-14.6177954608108	-18.0776259349712	16.1809440015473	-13.2897015333687	18.2803297439726	2.19267562542539	22.1318161192059	3.13915560212763e-14
"Ton_1d_3"	22.9531846804998	-44.3273285259986	-7.79188595360632	-19.5681840985934	9.59884956372529	-20.2634475113256	-8.46644127387522	-15.0784482956968	9.44476898918171	3.15024916792673	3.63000602380734	-11.5924706766643	-2.05562550651737	-6.27588735876697	8.98357458172252	15.6427933784843	-22.0863405572723	28.5179857489053	-3.3770681671373	15.7138955895583	0.29493690305513	2.89031641216195	-14.4041067809602	-1.5820894941343e-14
"Ton_4d_1"	79.3590104417025	69.3193984117588	-13.4409450683919	29.0184371280555	7.48840927053081	-15.9704619896838	14.9934089598539	27.8695997070929	12.7492479413719	-6.38729993239926	-13.2016624006998	-17.0792635243704	-4.90485140713452	-7.04034863393583	6.76587111976669	-12.2258279512877	-14.043352916607	4.23271933396605	0.134186552969664	1.32244984723129	0.651989284850069	-0.0728264320388616	-1.06735299460266	-1.24233956455555e-13
"Ton_4d_2"	75.6070720908287	49.372661479255	-9.01438365864164	18.3323481746729	-19.0263980592136	3.02082145018519	-13.0402185597161	-16.3785018690096	-24.6724977540328	6.02751581836961	33.817726082595	6.393505368692	4.4861370186828	-5.00783368823553	7.09296588978446	19.1000360603774	9.02700309833294	1.01731905204163	-9.46071381319921	2.33542197886585	0.194984328195689	-5.03997095648163	-0.315955189570874	-7.2180976473657e-14
"Ton_4d_3"	44.8865419195805	13.7914288063172	-3.23349387908796	-20.2579118967832	-26.0396388279305	-23.2390879333066	-22.705677071537	-13.8467422770068	-0.316064741807158	2.80082925075439	-32.1700164852465	-2.57587679862607	11.4139983251944	24.3068123104803	-12.8920390491136	-6.14620608645648	17.9382904107604	-0.920082335947179	2.16419088691753	6.12210508695955	-6.97967473346774	1.5504368879679	-7.65649702935555	8.57647286522933e-15
